electrode,x,y,z,w,h,d,default,all
0.0,-5.0,30.0,0.0,10.0,10.0,23.0,1.0,1.0
1.0,-5.0,45.0,0.0,10.0,10.0,23.0,1.0,1.0
2.0,-5.0,55.0,0.0,10.0,10.0,23.0,1.0,1.0
3.0,-20.0,75.0,0.0,10.0,10.0,23.0,1.0,1.0
4.0,10.0,75.0,0.0,10.0,10.0,23.0,1.0,1.0
5.0,-5.0,105.0,0.0,10.0,10.0,23.0,1.0,1.0
6.0,-20.0,125.0,0.0,10.0,10.0,23.0,1.0,1.0
7.0,10.0,125.0,0.0,10.0,10.0,23.0,1.0,1.0
8.0,-5.0,155.0,0.0,10.0,10.0,23.0,1.0,1.0
9.0,-20.0,175.0,0.0,10.0,10.0,23.0,1.0,1.0
10.0,10.0,175.0,0.0,10.0,10.0,23.0,1.0,1.0
11.0,-5.0,205.0,0.0,10.0,10.0,23.0,1.0,1.0
12.0,-20.0,225.0,0.0,10.0,10.0,23.0,1.0,1.0
13.0,10.0,225.0,0.0,10.0,10.0,23.0,1.0,1.0
14.0,-5.0,255.0,0.0,10.0,10.0,23.0,1.0,1.0
15.0,-20.0,275.0,0.0,10.0,10.0,23.0,1.0,1.0
16.0,10.0,275.0,0.0,10.0,10.0,23.0,1.0,1.0
17.0,-5.0,305.0,0.0,10.0,10.0,23.0,1.0,1.0
18.0,-20.0,325.0,0.0,10.0,10.0,23.0,1.0,1.0
19.0,10.0,325.0,0.0,10.0,10.0,23.0,1.0,1.0
20.0,-5.0,355.0,0.0,10.0,10.0,23.0,1.0,1.0
21.0,-20.0,375.0,0.0,10.0,10.0,23.0,1.0,1.0
22.0,10.0,375.0,0.0,10.0,10.0,23.0,1.0,1.0
23.0,-5.0,405.0,0.0,10.0,10.0,23.0,1.0,1.0
24.0,-20.0,425.0,0.0,10.0,10.0,23.0,1.0,1.0
25.0,10.0,425.0,0.0,10.0,10.0,23.0,1.0,1.0
26.0,-5.0,455.0,0.0,10.0,10.0,23.0,1.0,1.0
27.0,-20.0,475.0,0.0,10.0,10.0,23.0,1.0,1.0
28.0,10.0,475.0,0.0,10.0,10.0,23.0,1.0,1.0
29.0,-5.0,505.0,0.0,10.0,10.0,23.0,1.0,1.0
30.0,-20.0,525.0,0.0,10.0,10.0,23.0,1.0,1.0
31.0,10.0,525.0,0.0,10.0,10.0,23.0,1.0,1.0
32.0,-5.0,555.0,0.0,10.0,10.0,23.0,1.0,1.0
33.0,-20.0,575.0,0.0,10.0,10.0,23.0,1.0,1.0
34.0,10.0,575.0,0.0,10.0,10.0,23.0,1.0,1.0
35.0,-5.0,605.0,0.0,10.0,10.0,23.0,1.0,1.0
36.0,-20.0,625.0,0.0,10.0,10.0,23.0,1.0,1.0
37.0,10.0,625.0,0.0,10.0,10.0,23.0,1.0,1.0
38.0,-5.0,655.0,0.0,10.0,10.0,23.0,1.0,1.0
39.0,-20.0,675.0,0.0,10.0,10.0,23.0,1.0,1.0
40.0,10.0,675.0,0.0,10.0,10.0,23.0,1.0,1.0
41.0,-5.0,705.0,0.0,10.0,10.0,23.0,1.0,1.0
42.0,-20.0,725.0,0.0,10.0,10.0,23.0,1.0,1.0
43.0,10.0,725.0,0.0,10.0,10.0,23.0,1.0,1.0
44.0,-5.0,755.0,0.0,10.0,10.0,23.0,1.0,1.0
45.0,-20.0,775.0,0.0,10.0,10.0,23.0,1.0,1.0
46.0,10.0,775.0,0.0,10.0,10.0,23.0,1.0,1.0
47.0,-5.0,805.0,0.0,10.0,10.0,23.0,1.0,1.0
48.0,-20.0,825.0,0.0,10.0,10.0,23.0,1.0,1.0
49.0,10.0,825.0,0.0,10.0,10.0,23.0,1.0,1.0
50.0,-5.0,855.0,0.0,10.0,10.0,23.0,1.0,1.0
51.0,-20.0,875.0,0.0,10.0,10.0,23.0,1.0,1.0
52.0,10.0,875.0,0.0,10.0,10.0,23.0,1.0,1.0
53.0,-5.0,905.0,0.0,10.0,10.0,23.0,1.0,1.0
54.0,-20.0,925.0,0.0,10.0,10.0,23.0,1.0,1.0
55.0,10.0,925.0,0.0,10.0,10.0,23.0,1.0,1.0
56.0,-5.0,955.0,0.0,10.0,10.0,23.0,1.0,1.0
57.0,-20.0,975.0,0.0,10.0,10.0,23.0,1.0,1.0
58.0,10.0,975.0,0.0,10.0,10.0,23.0,1.0,1.0
59.0,-5.0,1005.0,0.0,10.0,10.0,23.0,1.0,1.0
60.0,-20.0,1025.0,0.0,10.0,10.0,23.0,1.0,1.0
61.0,10.0,1025.0,0.0,10.0,10.0,23.0,1.0,1.0
62.0,-5.0,1055.0,0.0,10.0,10.0,23.0,1.0,1.0
63.0,-20.0,1075.0,0.0,10.0,10.0,23.0,1.0,1.0
64.0,10.0,1075.0,0.0,10.0,10.0,23.0,1.0,1.0
65.0,-5.0,1105.0,0.0,10.0,10.0,23.0,1.0,1.0
66.0,-20.0,1125.0,0.0,10.0,10.0,23.0,1.0,1.0
67.0,10.0,1125.0,0.0,10.0,10.0,23.0,1.0,1.0
68.0,-5.0,1155.0,0.0,10.0,10.0,23.0,1.0,1.0
69.0,-20.0,1175.0,0.0,10.0,10.0,23.0,1.0,1.0
70.0,10.0,1175.0,0.0,10.0,10.0,23.0,1.0,1.0
71.0,-5.0,1205.0,0.0,10.0,10.0,23.0,1.0,1.0
72.0,-20.0,1225.0,0.0,10.0,10.0,23.0,1.0,1.0
73.0,10.0,1225.0,0.0,10.0,10.0,23.0,1.0,1.0
74.0,-5.0,1255.0,0.0,10.0,10.0,23.0,1.0,1.0
75.0,-20.0,1275.0,0.0,10.0,10.0,23.0,1.0,1.0
76.0,10.0,1275.0,0.0,10.0,10.0,23.0,1.0,1.0
77.0,-5.0,1305.0,0.0,10.0,10.0,23.0,1.0,1.0
78.0,-20.0,1325.0,0.0,10.0,10.0,23.0,1.0,1.0
79.0,10.0,1325.0,0.0,10.0,10.0,23.0,1.0,1.0
80.0,-5.0,1355.0,0.0,10.0,10.0,23.0,1.0,1.0
81.0,-20.0,1375.0,0.0,10.0,10.0,23.0,1.0,1.0
82.0,10.0,1375.0,0.0,10.0,10.0,23.0,1.0,1.0
83.0,-5.0,1405.0,0.0,10.0,10.0,23.0,1.0,1.0
84.0,-20.0,1425.0,0.0,10.0,10.0,23.0,1.0,1.0
85.0,10.0,1425.0,0.0,10.0,10.0,23.0,1.0,1.0
86.0,-5.0,1455.0,0.0,10.0,10.0,23.0,1.0,1.0
87.0,-20.0,1475.0,0.0,10.0,10.0,23.0,1.0,1.0
88.0,10.0,1475.0,0.0,10.0,10.0,23.0,1.0,1.0
89.0,-5.0,1505.0,0.0,10.0,10.0,23.0,1.0,1.0
90.0,-20.0,1525.0,0.0,10.0,10.0,23.0,1.0,1.0
91.0,10.0,1525.0,0.0,10.0,10.0,23.0,1.0,1.0
92.0,-5.0,1555.0,0.0,10.0,10.0,23.0,1.0,1.0
93.0,-20.0,1575.0,0.0,10.0,10.0,23.0,1.0,1.0
94.0,10.0,1575.0,0.0,10.0,10.0,23.0,1.0,1.0
95.0,-5.0,1605.0,0.0,10.0,10.0,23.0,1.0,1.0
96.0,-20.0,1625.0,0.0,10.0,10.0,23.0,1.0,1.0
97.0,10.0,1625.0,0.0,10.0,10.0,23.0,1.0,1.0
98.0,-5.0,1655.0,0.0,10.0,10.0,23.0,1.0,1.0
99.0,-20.0,1675.0,0.0,10.0,10.0,23.0,1.0,1.0
100.0,10.0,1675.0,0.0,10.0,10.0,23.0,1.0,1.0
101.0,-5.0,1705.0,0.0,10.0,10.0,23.0,1.0,1.0
102.0,-20.0,1725.0,0.0,10.0,10.0,23.0,1.0,1.0
103.0,10.0,1725.0,0.0,10.0,10.0,23.0,1.0,1.0
104.0,-5.0,1755.0,0.0,10.0,10.0,23.0,1.0,1.0
105.0,-20.0,1775.0,0.0,10.0,10.0,23.0,1.0,1.0
106.0,10.0,1775.0,0.0,10.0,10.0,23.0,1.0,1.0
107.0,-5.0,1805.0,0.0,10.0,10.0,23.0,1.0,1.0
108.0,-20.0,1825.0,0.0,10.0,10.0,23.0,1.0,1.0
109.0,10.0,1825.0,0.0,10.0,10.0,23.0,1.0,1.0
110.0,-5.0,1855.0,0.0,10.0,10.0,23.0,1.0,1.0
111.0,-20.0,1875.0,0.0,10.0,10.0,23.0,1.0,1.0
112.0,10.0,1875.0,0.0,10.0,10.0,23.0,1.0,1.0
113.0,-5.0,1905.0,0.0,10.0,10.0,23.0,1.0,1.0
114.0,-20.0,1925.0,0.0,10.0,10.0,23.0,1.0,1.0
115.0,10.0,1925.0,0.0,10.0,10.0,23.0,1.0,1.0
116.0,-5.0,1955.0,0.0,10.0,10.0,23.0,1.0,1.0
117.0,-20.0,1975.0,0.0,10.0,10.0,23.0,1.0,1.0
118.0,10.0,1975.0,0.0,10.0,10.0,23.0,1.0,1.0
119.0,-5.0,2005.0,0.0,10.0,10.0,23.0,1.0,1.0
120.0,-20.0,2025.0,0.0,10.0,10.0,23.0,1.0,1.0
121.0,10.0,2025.0,0.0,10.0,10.0,23.0,1.0,1.0
122.0,-5.0,2055.0,0.0,10.0,10.0,23.0,1.0,1.0
123.0,-20.0,2075.0,0.0,10.0,10.0,23.0,1.0,1.0
124.0,10.0,2075.0,0.0,10.0,10.0,23.0,1.0,1.0
125.0,-5.0,2105.0,0.0,10.0,10.0,23.0,1.0,1.0
126.0,-20.0,2125.0,0.0,10.0,10.0,23.0,1.0,1.0
127.0,10.0,2125.0,0.0,10.0,10.0,23.0,1.0,1.0
